Amount,Point
600,5040
601,5045
602,5055
603,5065
604,5070
605,5080
606,5090
607,5100
608,5105
609,5115
610,5125
611,5130
612,5140
613,5150
614,5155
615,5165
616,5175
617,5180
618,5190
619,5200
620,5205
621,5215
622,5225
623,5230
624,5240
625,5250
626,5255
627,5265
628,5275
629,5280
630,5290
631,5300
632,5310
633,5315
634,5325
635,5335
636,5340
637,5350
638,5360
639,5365
640,5375
641,5385
642,5390
643,5400
644,5410
645,5415
646,5425
647,5435
648,5440
649,5450
650,5460
651,5465
652,5475
653,5485
654,5490
655,5500
656,5510
657,5515
658,5525
659,5535
660,5545
661,5550
662,5560
663,5570
664,5575
665,5585
666,5595
667,5600
668,5610
669,5620
670,5625
671,5635
672,5645
673,5650
674,5660
675,5670
676,5675
677,5685
678,5695
679,5700
680,5710
681,5720
682,5725
683,5735
684,5745
685,5755
686,5760
687,5770
688,5780
689,5785
690,5795
691,5805
692,5810
693,5820
694,5830
695,5835
696,5845
697,5855
698,5860
699,5870
700,5880
701,5885
702,5895
703,5905
704,5910
705,5920
706,5930
707,5935
708,5945
709,5955
710,5965
711,5970
712,5980
713,5990
714,5995
715,6005
716,6015
717,6020
718,6030
719,6040
720,6045
721,6055
722,6065
723,6070
724,6080
725,6090
726,6095
727,6105
728,6115
729,6120
730,6130
731,6140
732,6145
733,6155
734,6165
735,6175
736,6180
737,6190
738,6200
739,6205
740,6215
741,6225
742,6230
743,6240
744,6250
745,6255
746,6265
747,6275
748,6280
749,6290
750,6300
751,6305
752,6315
753,6325
754,6330
755,6340
756,6350
757,6355
758,6365
759,6375
760,6380
761,6390
762,6400
763,6410
764,6415
765,6425
766,6435
767,6440
768,6450
769,6460
770,6465
771,6475
772,6485
773,6490
774,6500
775,6510
776,6515
777,6525
778,6535
779,6540
780,6550
781,6560
782,6565
783,6575
784,6585
785,6590
786,6600
787,6610
788,6620
789,6625
790,6635
791,6645
792,6650
793,6660
794,6670
795,6675
796,6685
797,6695
798,6700
799,6710
800,6720
801,6725
802,6735
803,6745
804,6750
805,6760
806,6770
807,6775
808,6785
809,6795
810,6800
811,6810
812,6820
813,6830
814,6835
815,6845
816,6855
817,6860
818,6870
819,6880
820,6885
821,6895
822,6905
823,6910
824,6920
825,6930
826,6935
827,6945
828,6955
829,6960
830,6970
831,6980
832,6985
833,6995
834,7005
835,7010
836,7020
837,7030
838,7040
839,7045
840,7055
841,7065
842,7070
843,7080
844,7090
845,7095
846,7105
847,7115
848,7120
849,7130
850,7140
851,7145
852,7155
853,7165
854,7170
855,7180
856,7190
857,7195
858,7205
859,7215
860,7220
861,7230
862,7240
863,7245
864,7255
865,7265
866,7275
867,7280
868,7290
869,7300
870,7305
871,7315
872,7325
873,7330
874,7340
875,7350
876,7355
877,7365
878,7375
879,7380
880,7390
881,7400
882,7405
883,7415
884,7425
885,7430
886,7440
887,7450
888,7455
889,7465
890,7475
891,7485
892,7490
893,7500
894,7510
895,7515
896,7525
897,7535
898,7540
899,7550
900,7560
901,7565
902,7575
903,7585
904,7590
905,7600
906,7610
907,7615
908,7625
909,7635
910,7640
911,7650
912,7660
913,7665
914,7675
915,7685
916,7695
917,7700
918,7710
919,7720
920,7725
921,7735
922,7745
923,7750
924,7760
925,7770
926,7775
927,7785
928,7795
929,7800
930,7810
931,7820
932,7825
933,7835
934,7845
935,7850
936,7860
937,7870
938,7875
939,7885
940,7895
941,7905
942,7910
943,7920
944,7930
945,7935
946,7945
947,7955
948,7960
949,7970
950,7980
951,7985
952,7995
953,8005
954,8010
955,8020
